time1,time2,time3,time4,time5,time6,time7,time8,time9,time10,time11,time12
0.52 ,0.51 ,0.52 ,0.53 ,0.49 ,0.55 ,0.52 ,0.56 ,0.50 ,0.47 ,0.53 ,0.45 
2.35 ,2.28 ,2.39 ,2.35 ,2.28 ,2.38 ,2.26 ,2.19 ,2.29 ,2.56 ,2.54 ,2.56 
9.84 ,9.75 ,9.88 ,9.88 ,9.88 ,9.87 ,9.50 ,9.21 ,9.64 ,10.35 ,10.32 ,10.36 
8.45 ,8.28 ,8.53 ,8.30 ,8.25 ,8.32 ,8.75 ,8.54 ,8.85 ,8.53 ,7.78 ,8.78 
3.92 ,4.00 ,3.89 ,3.84 ,3.90 ,3.82 ,4.04 ,4.02 ,4.05 ,4.04 ,4.48 ,3.89 
4.06 ,3.84 ,4.16 ,4.07 ,3.99 ,4.10 ,4.20 ,3.77 ,4.39 ,3.77 ,3.21 ,3.96 
3.31 ,3.35 ,3.30 ,3.29 ,3.28 ,3.30 ,3.36 ,3.65 ,3.22 ,3.31 ,3.04 ,3.40 
12.32 ,12.24 ,12.36 ,12.29 ,12.08 ,12.39 ,12.41 ,12.51 ,12.37 ,12.28 ,12.46 ,12.22 
19.08 ,19.21 ,19.03 ,19.00 ,19.21 ,18.91 ,19.33 ,19.24 ,19.37 ,18.97 ,19.14 ,18.91 
5.16 ,5.16 ,5.16 ,5.29 ,5.42 ,5.23 ,4.92 ,4.81 ,4.96 ,5.07 ,4.61 ,5.23 
1.21 ,1.26 ,1.18 ,1.22 ,1.29 ,1.19 ,1.22 ,1.23 ,1.21 ,1.11 ,1.17 ,1.09 
0.24 ,0.22 ,0.25 ,0.24 ,0.21 ,0.26 ,0.23 ,0.21 ,0.23 ,0.28 ,0.33 ,0.26 
0.20 ,0.16 ,0.22 ,0.19 ,0.13 ,0.22 ,0.23 ,0.23 ,0.23 ,0.19 ,0.13 ,0.21 
12.32 ,12.46 ,12.26 ,12.55 ,12.47 ,12.58 ,12.09 ,12.49 ,11.90 ,11.80 ,12.36 ,11.61 
10.85 ,11.20 ,10.70 ,10.91 ,11.24 ,10.77 ,10.75 ,10.97 ,10.65 ,10.73 ,11.49 ,10.48 
3.31 ,3.36 ,3.29 ,3.21 ,3.19 ,3.22 ,3.42 ,3.61 ,3.33 ,3.53 ,3.67 ,3.49 
0.72 ,0.74 ,0.71 ,0.75 ,0.79 ,0.73 ,0.60 ,0.66 ,0.57 ,0.82 ,0.67 ,0.87 
0.24 ,0.22 ,0.25 ,0.25 ,0.24 ,0.25 ,0.27 ,0.23 ,0.29 ,0.17 ,0.10 ,0.19 
0.22 ,0.25 ,0.21 ,0.23 ,0.23 ,0.23 ,0.22 ,0.29 ,0.18 ,0.21 ,0.27 ,0.19 
0.37 ,0.29 ,0.40 ,0.33 ,0.27 ,0.36 ,0.39 ,0.32 ,0.43 ,0.49 ,0.37 ,0.53 
0.34 ,0.31 ,0.36 ,0.33 ,0.25 ,0.36 ,0.37 ,0.41 ,0.35 ,0.37 ,0.40 ,0.36 
0.32 ,0.34 ,0.31 ,0.31 ,0.35 ,0.29 ,0.32 ,0.32 ,0.32 ,0.34 ,0.37 ,0.33 
0.37 ,0.31 ,0.39 ,0.38 ,0.32 ,0.41 ,0.35 ,0.29 ,0.38 ,0.35 ,0.37 ,0.35 
0.26 ,0.25 ,0.26 ,0.25 ,0.25 ,0.25 ,0.27 ,0.25 ,0.28 ,0.27 ,0.20 ,0.29 